AttendanceID,MemberID,MatchID,Attended,TicketsUsed,CheckInTime
ATT00099,MEM0006,M009,Yes,1,18:15
ATT00100,MEM0006,M010,No,0,
ATT00101,MEM0006,M011,No,0,
ATT00102,MEM0006,M012,Yes,1,19:50
ATT00103,MEM0006,M013,Yes,1,19:55
ATT00104,MEM0006,M014,No,0,
ATT00105,MEM0006,M015,Yes,1,19:40
ATT00106,MEM0006,M016,Yes,1,19:35
ATT00107,MEM0006,M017,Yes,1,19:45
ATT00108,MEM0006,M018,Yes,1,18:00
ATT00109,MEM0007,M001,Yes,1,19:40
ATT00110,MEM0007,M002,No,0,
ATT00111,MEM0007,M003,Yes,2,19:10
ATT00112,MEM0007,M004,No,0,
ATT00113,MEM0007,M005,Yes,2,19:45
ATT00114,MEM0007,M006,Yes,1,18:40
ATT00115,MEM0007,M007,Yes,2,19:20
ATT00116,MEM0007,M008,Yes,1,18:55
ATT00117,MEM0007,M009,Yes,2,18:05
ATT00118,MEM0007,M010,Yes,2,19:45
ATT00119,MEM0007,M011,Yes,2,19:10
ATT00120,MEM0007,M012,Yes,1,20:45
ATT00121,MEM0007,M013,Yes,1,18:30
ATT00122,MEM0007,M014,Yes,1,20:35
ATT00123,MEM0007,M015,No,0,
ATT00124,MEM0007,M016,No,0,
ATT00125,MEM0007,M017,No,0,
ATT00126,MEM0007,M018,Yes,2,19:05
ATT00127,MEM0008,M001,No,0,
ATT00128,MEM0008,M002,No,0,
ATT00129,MEM0008,M003,Yes,1,20:15
ATT00130,MEM0008,M004,Yes,1,18:20
ATT00131,MEM0008,M005,Yes,1,18:10
ATT00132,MEM0008,M006,No,0,
ATT00133,MEM0008,M007,Yes,2,19:15
ATT00134,MEM0008,M008,Yes,2,18:25
ATT00135,MEM0008,M009,Yes,2,19:55
ATT00136,MEM0008,M010,Yes,2,18:35
ATT00137,MEM0008,M011,No,0,
ATT00138,MEM0008,M012,No,0,
ATT00139,MEM0008,M013,Yes,1,19:00
ATT00140,MEM0008,M014,Yes,2,19:05
ATT00141,MEM0008,M015,No,0,
ATT00142,MEM0008,M016,Yes,2,19:55
ATT00143,MEM0008,M017,No,0,
ATT00144,MEM0008,M018,Yes,2,18:40
ATT00145,MEM0009,M001,No,0,
ATT00146,MEM0009,M002,No,0,
ATT00147,MEM0009,M003,No,0,
ATT00148,MEM0009,M004,No,0,
ATT00149,MEM0009,M005,No,0,
ATT00150,MEM0009,M006,Yes,2,19:10
ATT00151,MEM0009,M007,No,0,
ATT00152,MEM0009,M008,No,0,
ATT00153,MEM0009,M009,Yes,1,19:35
ATT00154,MEM0009,M010,Yes,1,19:00
ATT00155,MEM0009,M011,Yes,1,18:40
ATT00156,MEM0009,M012,Yes,1,19:30
ATT00157,MEM0009,M013,Yes,2,19:25
ATT00158,MEM0009,M014,No,0,
ATT00159,MEM0009,M015,Yes,1,20:40
ATT00160,MEM0009,M016,No,0,
ATT00161,MEM0009,M017,No,0,
ATT00162,MEM0009,M018,No,0,
ATT00163,MEM0010,M001,Yes,2,19:00
ATT00164,MEM0010,M002,Yes,2,20:05
ATT00165,MEM0010,M003,Yes,2,20:35
ATT00166,MEM0010,M004,No,0,
ATT00167,MEM0010,M005,Yes,2,19:10
ATT00168,MEM0010,M006,Yes,2,19:30
ATT00169,MEM0010,M007,No,0,
ATT00170,MEM0010,M008,Yes,2,19:10
ATT00171,MEM0010,M009,No,0,
ATT00172,MEM0010,M010,Yes,2,18:40
ATT00173,MEM0010,M011,No,0,
ATT00174,MEM0010,M012,Yes,2,19:40
ATT00175,MEM0010,M013,Yes,2,18:55
ATT00176,MEM0010,M014,No,0,
ATT00177,MEM0010,M015,Yes,2,19:00
ATT00178,MEM0010,M016,Yes,2,20:50
ATT00179,MEM0010,M017,No,0,
ATT00180,MEM0010,M018,No,0,
ATT00181,MEM0011,M001,No,0,
ATT00182,MEM0011,M002,No,0,
ATT00183,MEM0011,M003,Yes,2,19:45
ATT00184,MEM0011,M004,No,0,
ATT00185,MEM0011,M005,Yes,2,20:25
ATT00186,MEM0011,M006,No,0,
ATT00187,MEM0011,M007,Yes,2,18:00
ATT00188,MEM0011,M008,Yes,2,20:55
ATT00189,MEM0011,M009,No,0,
ATT00190,MEM0011,M010,Yes,1,19:40
ATT00191,MEM0011,M011,No,0,
ATT00192,MEM0011,M012,Yes,2,18:20
ATT00193,MEM0011,M013,Yes,1,19:20
ATT00194,MEM0011,M014,No,0,
ATT00195,MEM0011,M015,No,0,
ATT00196,MEM0011,M016,Yes,2,19:55
ATT00197,MEM0011,M017,Yes,1,19:20
ATT00198,MEM0011,M018,Yes,1,20:30
ATT00199,MEM0012,M001,Yes,3,19:35
ATT00200,MEM0012,M002,Yes,5,19:05
ATT00201,MEM0012,M003,Yes,3,19:05
ATT00202,MEM0012,M004,Yes,5,19:40
ATT00203,MEM0012,M005,Yes,5,20:30
ATT00204,MEM0012,M006,No,0,
ATT00205,MEM0012,M007,No,0,
ATT00206,MEM0012,M008,No,0,
ATT00207,MEM0012,M009,Yes,5,18:55
ATT00208,MEM0012,M010,Yes,2,20:15
ATT00209,MEM0012,M011,Yes,4,18:45
ATT00210,MEM0012,M012,No,0,
ATT00211,MEM0012,M013,Yes,3,18:25
ATT00212,MEM0012,M014,Yes,4,19:20
ATT00213,MEM0012,M015,Yes,5,18:20
ATT00214,MEM0012,M016,No,0,
ATT00215,MEM0012,M017,Yes,2,19:25
ATT00216,MEM0012,M018,Yes,2,19:35
ATT00217,MEM0013,M001,Yes,5,19:55
ATT00218,MEM0013,M002,No,0,
ATT00219,MEM0013,M003,Yes,5,20:35
ATT00220,MEM0013,M004,Yes,4,18:45
ATT00221,MEM0013,M005,Yes,5,19:40
ATT00222,MEM0013,M006,Yes,5,20:20
ATT00223,MEM0013,M007,No,0,
ATT00224,MEM0013,M008,No,0,
ATT00225,MEM0013,M009,Yes,2,20:40
ATT00226,MEM0013,M010,Yes,2,19:40
ATT00227,MEM0013,M011,No,0,
ATT00228,MEM0013,M012,Yes,3,18:20
ATT00229,MEM0013,M013,No,0,
ATT00230,MEM0013,M014,No,0,
ATT00231,MEM0013,M015,No,0,
ATT00232,MEM0013,M016,Yes,2,19:00
ATT00233,MEM0013,M017,Yes,4,19:20
ATT00234,MEM0013,M018,Yes,2,19:10
ATT00235,MEM0014,M001,Yes,8,20:10
ATT00236,MEM0014,M002,No,0,
ATT00237,MEM0014,M003,Yes,4,19:25
ATT00238,MEM0014,M004,No,0,
ATT00239,MEM0014,M005,No,0,
ATT00240,MEM0014,M006,No,0,
ATT00241,MEM0014,M007,Yes,8,18:35
ATT00242,MEM0014,M008,No,0,
ATT00243,MEM0014,M009,No,0,
ATT00244,MEM0014,M010,No,0,
ATT00245,MEM0014,M011,Yes,4,18:25
ATT00246,MEM0014,M012,Yes,4,19:30
ATT00247,MEM0014,M013,No,0,
ATT00248,MEM0014,M014,No,0,
ATT00249,MEM0014,M015,No,0,
ATT00250,MEM0014,M016,Yes,8,19:50
ATT00251,MEM0014,M017,Yes,2,19:05
ATT00252,MEM0014,M018,Yes,4,20:40
ATT00253,MEM0015,M001,Yes,1,20:25
ATT00254,MEM0015,M002,No,0,
ATT00255,MEM0015,M003,Yes,1,19:15
ATT00256,MEM0015,M004,Yes,1,18:55
ATT00257,MEM0015,M005,No,0,
ATT00258,MEM0015,M006,Yes,1,20:10
ATT00259,MEM0015,M007,No,0,
ATT00260,MEM0015,M008,No,0,
ATT00261,MEM0015,M009,No,0,
ATT00262,MEM0015,M010,Yes,1,20:35
ATT00263,MEM0015,M011,No,0,
ATT00264,MEM0015,M012,No,0,
ATT00265,MEM0015,M013,No,0,
ATT00266,MEM0015,M014,No,0,
ATT00267,MEM0015,M015,No,0,
ATT00268,MEM0015,M016,Yes,1,20:00
ATT00269,MEM0015,M017,No,0,
ATT00270,MEM0015,M018,Yes,1,20:15
ATT00271,MEM0016,M001,Yes,1,20:55
ATT00272,MEM0016,M002,Yes,1,18:50
ATT00273,MEM0016,M003,Yes,1,18:40
ATT00274,MEM0016,M004,Yes,1,18:45
ATT00275,MEM0016,M005,Yes,1,19:55
ATT00276,MEM0016,M006,No,0,
ATT00277,MEM0016,M007,No,0,
ATT00278,MEM0016,M008,Yes,1,20:40
ATT00279,MEM0016,M009,Yes,1,19:30
ATT00280,MEM0016,M010,No,0,
ATT00281,MEM0016,M011,Yes,1,19:40
ATT00282,MEM0016,M012,Yes,1,18:20
ATT00283,MEM0016,M013,Yes,1,18:25
ATT00284,MEM0016,M014,Yes,1,20:15
ATT00285,MEM0016,M015,Yes,1,18:10
ATT00286,MEM0016,M016,Yes,1,20:50
ATT00287,MEM0016,M017,Yes,1,19:15
ATT00288,MEM0016,M018,Yes,1,19:00
ATT00289,MEM0017,M001,Yes,1,18:50
ATT00290,MEM0017,M002,Yes,1,18:00
ATT00291,MEM0017,M003,No,0,
ATT00292,MEM0017,M004,No,0,
ATT00293,MEM0017,M005,No,0,
ATT00294,MEM0017,M006,Yes,1,18:05
ATT00295,MEM0017,M007,Yes,1,19:05
ATT00296,MEM0017,M008,No,0,
ATT00297,MEM0017,M009,No,0,
ATT00298,MEM0017,M010,No,0,
ATT00299,MEM0017,M011,No,0,
ATT00300,MEM0017,M012,No,0,
ATT00301,MEM0017,M013,No,0,
ATT00302,MEM0017,M014,Yes,1,19:15
ATT00303,MEM0017,M015,No,0,
ATT00304,MEM0017,M016,No,0,
ATT00305,MEM0017,M017,Yes,1,19:30
ATT00306,MEM0017,M018,No,0,
ATT00307,MEM0018,M001,No,0,
ATT00308,MEM0018,M002,Yes,4,19:30
ATT00309,MEM0018,M003,Yes,3,18:35
ATT00310,MEM0018,M004,Yes,4,19:25
ATT00311,MEM0018,M005,No,0,
ATT00312,MEM0018,M006,Yes,3,19:40
ATT00313,MEM0018,M007,Yes,3,20:15
ATT00314,MEM0018,M008,No,0,
ATT00315,MEM0018,M009,No,0,
ATT00316,MEM0018,M010,No,0,
ATT00317,MEM0018,M011,No,0,
ATT00318,MEM0018,M012,No,0,
ATT00319,MEM0018,M013,Yes,5,18:35
ATT00320,MEM0018,M014,Yes,2,20:15
ATT00321,MEM0018,M015,Yes,5,20:25
ATT00322,MEM0018,M016,No,0,
ATT00323,MEM0018,M017,No,0,
ATT00324,MEM0018,M018,Yes,2,18:25
ATT00325,MEM0019,M001,Yes,1,18:00
ATT00326,MEM0019,M002,Yes,1,18:15
ATT00327,MEM0019,M003,Yes,1,18:15
ATT00328,MEM0019,M004,Yes,1,18:00
ATT00329,MEM0019,M005,No,0,
ATT00330,MEM0019,M006,No,0,
ATT00331,MEM0019,M007,No,0,
ATT00332,MEM0019,M008,Yes,1,20:10
ATT00333,MEM0019,M009,No,0,
ATT00334,MEM0019,M010,No,0,
ATT00335,MEM0019,M011,Yes,1,18:15
ATT00336,MEM0019,M012,No,0,
ATT00337,MEM0019,M013,Yes,1,18:45
ATT00338,MEM0019,M014,No,0,
ATT00339,MEM0019,M015,Yes,1,18:50
ATT00340,MEM0019,M016,No,0,
ATT00341,MEM0019,M017,No,0,
ATT00342,MEM0019,M018,No,0,
ATT00343,MEM0020,M001,No,0,
ATT00344,MEM0020,M002,No,0,
ATT00345,MEM0020,M003,No,0,
ATT00346,MEM0020,M004,No,0,
ATT00347,MEM0020,M005,Yes,3,19:55
ATT00348,MEM0020,M006,Yes,3,19:20
ATT00349,MEM0020,M007,No,0,
ATT00350,MEM0020,M008,No,0,
ATT00351,MEM0020,M009,Yes,3,19:15
ATT00352,MEM0020,M010,Yes,3,19:10
ATT00353,MEM0020,M011,Yes,3,18:20
ATT00354,MEM0020,M012,Yes,3,18:45
ATT00355,MEM0020,M013,Yes,3,19:30
ATT00356,MEM0020,M014,Yes,3,19:20
ATT00357,MEM0020,M015,Yes,2,19:05
ATT00358,MEM0020,M016,Yes,2,19:15
ATT00359,MEM0020,M017,Yes,3,19:15
ATT00360,MEM0020,M018,Yes,3,19:55
ATT00361,MEM0021,M001,Yes,3,20:55
ATT00362,MEM0021,M002,No,0,
ATT00363,MEM0021,M003,Yes,4,19:30
ATT00364,MEM0021,M004,No,0,
ATT00365,MEM0021,M005,No,0,
ATT00366,MEM0021,M006,No,0,
ATT00367,MEM0021,M007,Yes,3,19:15
ATT00368,MEM0021,M008,No,0,
ATT00369,MEM0021,M009,No,0,
ATT00370,MEM0021,M010,No,0,
ATT00371,MEM0021,M011,Yes,6,18:35
ATT00372,MEM0021,M012,Yes,2,19:10
ATT00373,MEM0021,M013,No,0,
ATT00374,MEM0021,M014,Yes,4,19:15
ATT00375,MEM0021,M015,Yes,4,19:45
ATT00376,MEM0021,M016,Yes,2,18:10
ATT00377,MEM0021,M017,Yes,6,19:15
ATT00378,MEM0021,M018,No,0,
ATT00379,MEM0022,M001,No,0,
ATT00380,MEM0022,M002,No,0,
ATT00381,MEM0022,M003,Yes,4,18:10
ATT00382,MEM0022,M004,No,0,
ATT00383,MEM0022,M005,No,0,
ATT00384,MEM0022,M006,Yes,2,18:25
ATT00385,MEM0022,M007,Yes,4,19:55
ATT00386,MEM0022,M008,No,0,
ATT00387,MEM0022,M009,Yes,4,18:45
ATT00388,MEM0022,M010,Yes,4,19:55
ATT00389,MEM0022,M011,Yes,2,19:45
ATT00390,MEM0022,M012,No,0,
ATT00391,MEM0022,M013,No,0,
ATT00392,MEM0022,M014,Yes,4,19:55
ATT00393,MEM0022,M015,No,0,
ATT00394,MEM0022,M016,No,0,
ATT00395,MEM0022,M017,No,0,
ATT00396,MEM0022,M018,No,0,
ATT00397,MEM0023,M001,Yes,1,19:50
ATT00398,MEM0023,M002,Yes,1,20:55
ATT00399,MEM0023,M003,Yes,1,19:05
ATT00400,MEM0023,M004,No,0,
ATT00401,MEM0023,M005,Yes,1,19:15
ATT00402,MEM0023,M006,Yes,1,18:05
ATT00403,MEM0023,M007,Yes,1,20:30
ATT00404,MEM0023,M008,No,0,
ATT00405,MEM0023,M009,Yes,1,19:50
ATT00406,MEM0023,M010,No,0,
ATT00407,MEM0023,M011,Yes,1,20:35
ATT00408,MEM0023,M012,Yes,1,18:10
ATT00409,MEM0023,M013,Yes,1,19:55
ATT00410,MEM0023,M014,Yes,1,20:00
ATT00411,MEM0023,M015,Yes,1,20:00
ATT00412,MEM0023,M016,No,0,
ATT00413,MEM0023,M017,Yes,1,19:55
ATT00414,MEM0023,M018,Yes,1,19:00
ATT00415,MEM0024,M001,No,0,
ATT00416,MEM0024,M002,Yes,2,18:05
ATT00417,MEM0024,M003,Yes,2,20:50
ATT00418,MEM0024,M004,Yes,2,20:10
ATT00419,MEM0024,M005,Yes,2,19:40
ATT00420,MEM0024,M006,No,0,
ATT00421,MEM0024,M007,Yes,2,18:15
ATT00422,MEM0024,M008,Yes,2,19:10
ATT00423,MEM0024,M009,Yes,2,19:15
ATT00424,MEM0024,M010,Yes,2,20:45
ATT00425,MEM0024,M011,Yes,2,19:35
ATT00426,MEM0024,M012,No,0,
ATT00427,MEM0024,M013,No,0,
ATT00428,MEM0024,M014,No,0,
ATT00429,MEM0024,M015,Yes,2,20:55
ATT00430,MEM0024,M016,Yes,2,20:55
ATT00431,MEM0024,M017,No,0,
ATT00432,MEM0024,M018,Yes,2,19:40
ATT00433,MEM0025,M001,Yes,1,19:05
ATT00434,MEM0025,M002,Yes,2,18:45
ATT00435,MEM0025,M003,Yes,1,18:30
ATT00436,MEM0025,M004,Yes,1,18:55
ATT00437,MEM0025,M005,No,0,
ATT00438,MEM0025,M006,Yes,2,19:50
ATT00439,MEM0025,M007,No,0,
ATT00440,MEM0025,M008,Yes,2,18:15
ATT00441,MEM0025,M009,Yes,1,20:15
ATT00442,MEM0025,M010,No,0,
ATT00443,MEM0025,M011,No,0,
ATT00444,MEM0025,M012,Yes,1,19:50
ATT00445,MEM0025,M013,Yes,1,18:50
ATT00446,MEM0025,M014,No,0,
ATT00447,MEM0025,M015,Yes,1,18:40
ATT00448,MEM0025,M016,Yes,2,19:10
ATT00449,MEM0025,M017,Yes,1,19:20
ATT00450,MEM0025,M018,Yes,1,19:35
ATT00451,MEM0026,M001,Yes,1,19:30
ATT00452,MEM0026,M002,Yes,1,18:35
ATT00453,MEM0026,M003,No,0,
ATT00454,MEM0026,M004,No,0,
ATT00455,MEM0026,M005,Yes,1,19:30
ATT00456,MEM0026,M006,Yes,1,19:30
ATT00457,MEM0026,M007,Yes,1,18:10
ATT00458,MEM0026,M008,No,0,
ATT00459,MEM0026,M009,Yes,1,19:30
ATT00460,MEM0026,M010,No,0,
ATT00461,MEM0026,M011,Yes,1,19:50
ATT00462,MEM0026,M012,No,0,
ATT00463,MEM0026,M013,No,0,
ATT00464,MEM0026,M014,Yes,1,18:30
ATT00465,MEM0026,M015,Yes,1,19:55
ATT00466,MEM0026,M016,Yes,1,20:00
ATT00467,MEM0026,M017,No,0,
ATT00468,MEM0026,M018,Yes,1,19:50
ATT00469,MEM0027,M001,Yes,1,20:10
ATT00470,MEM0027,M002,Yes,1,18:05
ATT00471,MEM0027,M003,No,0,
ATT00472,MEM0027,M004,No,0,
ATT00473,MEM0027,M005,No,0,
ATT00474,MEM0027,M006,Yes,1,18:30
ATT00475,MEM0027,M007,No,0,
ATT00476,MEM0027,M008,No,0,
ATT00477,MEM0027,M009,Yes,1,18:50
ATT00478,MEM0027,M010,No,0,
ATT00479,MEM0027,M011,Yes,1,20:30
ATT00480,MEM0027,M012,No,0,
ATT00481,MEM0027,M013,Yes,1,18:55
ATT00482,MEM0027,M014,Yes,1,20:20
ATT00483,MEM0027,M015,Yes,1,18:35
ATT00484,MEM0027,M016,Yes,1,19:45
ATT00485,MEM0027,M017,Yes,1,18:20
ATT00486,MEM0027,M018,No,0,
ATT00487,MEM0028,M001,Yes,1,18:20
ATT00488,MEM0028,M002,Yes,1,19:05
ATT00489,MEM0028,M003,Yes,1,18:00
ATT00490,MEM0028,M004,Yes,1,20:45
ATT00491,MEM0028,M005,Yes,1,19:45
ATT00492,MEM0028,M006,Yes,1,19:35
ATT00493,MEM0028,M007,Yes,1,19:15
ATT00494,MEM0028,M008,No,0,
ATT00495,MEM0028,M009,Yes,1,19:05
ATT00496,MEM0028,M010,Yes,1,20:10
ATT00497,MEM0028,M011,Yes,1,19:35
ATT00498,MEM0028,M012,Yes,1,19:30
ATT00499,MEM0028,M013,Yes,1,18:50
ATT00500,MEM0028,M014,Yes,1,20:25
ATT00501,MEM0028,M015,Yes,1,19:30
ATT00502,MEM0028,M016,No,0,
ATT00503,MEM0028,M017,Yes,1,20:30
ATT00504,MEM0028,M018,Yes,1,20:10
ATT00505,MEM0029,M001,Yes,2,18:35
ATT00506,MEM0029,M002,No,0,
ATT00507,MEM0029,M003,Yes,5,18:35
ATT00508,MEM0029,M004,No,0,
ATT00509,MEM0029,M005,Yes,3,20:55
ATT00510,MEM0029,M006,Yes,5,20:00
ATT00511,MEM0029,M007,No,0,
ATT00512,MEM0029,M008,No,0,
ATT00513,MEM0029,M009,Yes,2,20:10
ATT00514,MEM0029,M010,No,0,
ATT00515,MEM0029,M011,No,0,
ATT00516,MEM0029,M012,Yes,3,19:45
ATT00517,MEM0029,M013,No,0,
ATT00518,MEM0029,M014,No,0,
ATT00519,MEM0029,M015,No,0,
ATT00520,MEM0029,M016,No,0,
ATT00521,MEM0029,M017,Yes,4,18:05
ATT00522,MEM0029,M018,Yes,3,20:05
ATT00523,MEM0030,M001,Yes,1,19:00
ATT00524,MEM0030,M002,Yes,1,19:30
ATT00525,MEM0030,M003,No,0,
ATT00526,MEM0030,M004,No,0,
ATT00527,MEM0030,M005,Yes,1,18:40
ATT00528,MEM0030,M006,No,0,
ATT00529,MEM0030,M007,Yes,1,19:50
ATT00530,MEM0030,M008,Yes,1,18:55
ATT00531,MEM0030,M009,No,0,
ATT00532,MEM0030,M010,No,0,
ATT00533,MEM0030,M011,Yes,1,20:15
ATT00534,MEM0030,M012,Yes,1,18:25
ATT00535,MEM0030,M013,No,0,
ATT00536,MEM0030,M014,No,0,
ATT00537,MEM0030,M015,No,0,
ATT00538,MEM0030,M016,No,0,
ATT00539,MEM0030,M017,Yes,1,18:40
ATT00540,MEM0030,M018,Yes,1,20:35
ATT00541,MEM0031,M001,Yes,2,19:55
ATT00542,MEM0031,M002,No,0,
ATT00543,MEM0031,M003,Yes,2,19:00
ATT00544,MEM0031,M004,No,0,
ATT00545,MEM0031,M005,Yes,1,19:55
ATT00546,MEM0031,M006,Yes,1,18:15
ATT00547,MEM0031,M007,No,0,
ATT00548,MEM0031,M008,Yes,1,20:10
ATT00549,MEM0031,M009,No,0,
ATT00550,MEM0031,M010,Yes,1,18:25
ATT00551,MEM0031,M011,Yes,2,19:30
ATT00552,MEM0031,M012,No,0,
ATT00553,MEM0031,M013,Yes,1,19:35
ATT00554,MEM0031,M014,Yes,1,20:55
ATT00555,MEM0031,M015,No,0,
ATT00556,MEM0031,M016,Yes,2,20:30
ATT00557,MEM0031,M017,Yes,1,18:05
ATT00558,MEM0031,M018,Yes,1,18:45
ATT00559,MEM0032,M001,No,0,
ATT00560,MEM0032,M002,Yes,2,20:55
ATT00561,MEM0032,M003,Yes,1,20:40
ATT00562,MEM0032,M004,Yes,1,19:40
ATT00563,MEM0032,M005,Yes,1,19:45
ATT00564,MEM0032,M006,No,0,
ATT00565,MEM0032,M007,No,0,
ATT00566,MEM0032,M008,Yes,1,18:45
ATT00567,MEM0032,M009,Yes,2,18:00
ATT00568,MEM0032,M010,Yes,1,20:10
ATT00569,MEM0032,M011,No,0,
ATT00570,MEM0032,M012,Yes,1,19:20
ATT00571,MEM0032,M013,No,0,
ATT00572,MEM0032,M014,No,0,
ATT00573,MEM0032,M015,No,0,
ATT00574,MEM0032,M016,No,0,
ATT00575,MEM0032,M017,Yes,2,20:25
ATT00576,MEM0032,M018,No,0,
ATT00577,MEM0033,M001,No,0,
ATT00578,MEM0033,M002,No,0,
ATT00579,MEM0033,M003,Yes,1,18:45
ATT00580,MEM0033,M004,No,0,
ATT00581,MEM0033,M005,No,0,
ATT00582,MEM0033,M006,Yes,1,19:30
ATT00583,MEM0033,M007,No,0,
ATT00584,MEM0033,M008,No,0,
ATT00585,MEM0033,M009,Yes,1,18:50
ATT00586,MEM0033,M010,No,0,
ATT00587,MEM0033,M011,Yes,1,19:50
ATT00588,MEM0033,M012,No,0,
ATT00589,MEM0033,M013,No,0,
ATT00590,MEM0033,M014,Yes,1,19:00
ATT00591,MEM0033,M015,Yes,1,20:40
ATT00592,MEM0033,M016,Yes,1,20:05
ATT00593,MEM0033,M017,Yes,1,19:00
ATT00594,MEM0033,M018,Yes,1,19:05
ATT00595,MEM0034,M001,Yes,2,18:40
ATT00596,MEM0034,M002,Yes,2,19:20
ATT00597,MEM0034,M003,Yes,2,18:25
ATT00598,MEM0034,M004,No,0,
ATT00599,MEM0034,M005,No,0,
ATT00600,MEM0034,M006,No,0,
ATT00601,MEM0034,M007,Yes,2,20:10
ATT00602,MEM0034,M008,Yes,2,18:55
ATT00603,MEM0034,M009,No,0,
ATT00604,MEM0034,M010,No,0,
ATT00605,MEM0034,M011,Yes,2,19:40
ATT00606,MEM0034,M012,Yes,2,19:55
ATT00607,MEM0034,M013,Yes,2,19:30
